NOW,TEAM_ID,millis,count,altp,temp,umi,p,gp,gr,gy,ap,ar,ay,hora,data,alt,lat,lon,sat,pqd,rssi
2025-11-04 23:25:55,Todos os módulos iniciados com sucesso!,-49
2025-11-04 23:25:56,#261,9339,0,-0.73,28.56,83.64,964.90,0.01,-0.03,0.01,0.34,-0.20,8.84,02:25:55,2025/11/05,440.30,-21.81603333,-49.23074617,7,nan,-49
2025-11-04 23:25:59,#261,11589,4,-0.88,28.62,83.57,964.92,0.01,-0.03,0.02,0.31,-0.22,8.79,02:25:58,2025/11/05,443.20,-21.81602000,-49.23074250,8,nan,-50
2025-11-04 23:25:59,#261,12098,5,-0.79,28.62,83.54,964.91,0.01,-0.03,0.01,0.37,-0.26,8.92,02:25:59,2025/11/05,443.20,-21.81602400,-49.23074100,8,nan,-49
2025-11-04 23:26:00,#261,12603,6,-0.68,28.62,83.58,964.89,0.01,-0.02,0.01,0.29,-0.25,8.81,02:25:59,2025/11/05,444.50,-21.81602400,-49.23074100,8,nan,-50
2025-11-04 23:26:00,#261,13114,7,-0.64,28.63,83.55,964.89,0.01,-0.02,0.01,0.37,-0.22,8.87,02:26:00,2025/11/05,444.50,-21.81603650,-49.23074317,8,nan,-49
2025-11-04 23:26:01,#261,13629,8,-0.95,28.64,83.60,964.92,0.01,-0.03,0.02,0.35,-0.26,8.87,02:26:00,2025/11/05,445.40,-21.81603650,-49.23074317,9,nan,-49
2025-11-04 23:26:01,#261,14143,9,-0.93,28.63,83.62,964.92,0.01,-0.02,0.02,0.36,-0.23,8.91,02:26:01,2025/11/05,445.40,-21.81604567,-49.23074850,9,nan,-49
2025-11-04 23:26:02,#261,15309,11,-0.79,28.64,83.66,964.91,0.01,-0.03,0.02,0.34,-0.24,8.83,02:26:02,2025/11/05,446.10,-21.81604517,-49.23074950,7,nan,-49
2025-11-04 23:26:03,#261,15824,12,-0.84,28.65,83.70,964.91,0.01,-0.03,0.01,0.28,-0.20,8.88,02:26:02,2025/11/05,446.10,-21.81604517,-49.23074950,7,nan,-49
2025-11-04 23:26:04,#261,17363,15,-0.69,28.66,83.67,964.90,0.01,-0.03,0.01,0.30,-0.23,8.87,02:26:04,2025/11/05,445.40,-21.81604500,-49.23074567,6,nan,-50
2025-11-04 23:26:05,#261,17881,16,-0.70,28.68,83.63,964.90,0.01,-0.03,0.02,0.31,-0.26,8.93,
2025-11-04 23:26:06,02:26:04,2025/11/05,445.40,-21.81604500,-49.23074567,6,nan,-48
2025-11-04 23:26:07,#261,18396,17,-0.66,28.69,83.61,964.89,0.01,-0.03,0.01,0.29,-0.23,8.85,02:26:05,2025/11/05,446.40,-21.81604233,-49.23074217,7,nan,-48
2025-11-04 23:26:08,#261,19428,19,-0.48,28.71,83.61,964.87,0.01,-0.03,0.01,0.32,-0.27,8.80,02:26:06,2025/11/05,448.70,-21.81602867,-49.23073650,6,nan,-47
2025-11-04 23:26:08,#261,19950,20,-0.78,28.72,83.56,964.90,0.01,-0.02,0.01,0.33,-0.26,8.87,02:26:06,2025/11/05,448.70,-21.81602867,-49.23073650,6,nan,-47
2025-11-04 23:26:09,#261,20470,21,-0.75,28.73,83.58,964.90,0.01,-0.03,0.02,0.27,-0.26,8.81,02:26:07,2025/11/05,449.70,-21.81603050,-49.23073667,7,nan,-47
2025-11-04 23:26:09,#261,20992,22,-0.73,28.74,83.60,964.90,0.01,-0.03,0.01,0.39,-0.23,8.82,02:26:07,2025/11/05,449.70,-21.81603050,-49.23073667,7,nan,-48
2025-11-04 23:26:10,#261,21509,23,-0.93,28.74,83.54,964.92,0.01,-0.03,0.02,0.35,-0.26,8.88,02:26:08,2025/11/05,450.40,-21.81602717,-49.23073800,7,nan,-48
2025-11-04 23:26:10,#261,22157,24,-0.83,28.74,83.55,964.91,0.01,-0.03,0.01,0.35,-0.23,8.82,02:26:09,2025/11/05,450.40,-21.81602250,-49.23073883,7,nan,-47
2025-11-04 23:26:11,#261,22679,25,-0.55,28.74,83.51,964.88,0.01,-0.03,0.01,0.29,-0.17,8.86,02:26:09,2025/11/05,451.00,-21.81602250,-49.23073883,8,nan,-47
2025-11-04 23:26:11,#261,23202,26,-0.57,28.74,83.53,964.88,0.01,-0.03,0.02,0.28,-0.19,8.88,02:26:10,2025/11/05,451.80,-21.81600950,-49.23074117,6,nan,-47
2025-11-04 23:26:12,#261,24250,28,-0.86,28.76,83.43,964.91,0.01,-0.03,0.02,0.34,-0.26,8.81,02:26:11,2025/11/05,452.50,-21.81600050,-49.23074267,7,nan,-47
2025-11-04 23:26:12,#261,25296,30,-0.70,28.77,83.38,964.90,0.01,-0.02,0.01,0.31,-0.22,8.88,02:26:12,2025/11/05,454.10,-21.81599800,-49.23075100,7,nan,-47
2025-11-04 23:26:14,#261,26866,33,-0.53,28.78,83.31,964.88,0.01,-0.03,0.01,0.31,-0.25,8.80,02:26:13,2025/11/05,455.90,-21.81598017,-49.23075183,5,nan,-49
2025-11-04 23:26:15,#261,27879,35,-0.53,28.80,83.25,964.88,0.01,-0.03,0.02,0.28,-0.28,8.97,02:26:14,2025/11/05,456.80,-21.81597483,-49.23075400,7,nan,-48
2025-11-04 23:26:16,#261,28389,36,-0.79,28.81,83.21,964.91,0.01,-0.03,0.01,0.32,-0.23,8.83,02:26:15,2025/11/05,458.20,-21.81596467,-49.23075383,7,nan,-46
2025-11-04 23:26:16,#261,28900,37,-0.51,28.82,83.13,964.87,0.01,-0.03,0.02,0.30,-0.27,8.85,02:26:15,2025/11/05,458.20,-21.81596467,-49.23075383,7,nan,-47
2025-11-04 23:26:17,#261,29525,38,-0.57,28.82,83.15,964.88,0.01,-0.03,0.02,0.35,-0.28,8.80,02:26:16,2025/11/05,458.90,-21.81595650,-49.23075500,9,nan,-46
